127.0.0.1 - - [22/Jul/2022:17:50:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/ HTTP/1.1" 200 33103
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/images/%EC%83%88%ED%84%B4%EC%89%98%ED%84%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/images/%ED%8F%AC%ED%8B%B0%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/images/box1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/images/%ED%94%84%EB%9D%BC%EC%9E%84%EB%94%94%EB%9F%AD%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/images/box3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /myapp/images/box2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:50:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:00 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 27413
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:13 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:13 +0900] "GET /myapp/ HTTP/1.1" 200 33610
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:19 +0900] "GET /myapp/member/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:19 +0900] "GET /myapp/ HTTP/1.1" 200 33103
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:21 +0900] "GET /myapp/member/joinForm.do HTTP/1.1" 200 31770
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:21 +0900] "GET /myapp/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:21 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:54 +0900] "GET /myapp/member/idCheck.do?id=camel HTTP/1.1" 200 31756
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:54 +0900] "GET /myapp/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:51:54 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:54:43 +0900] "POST /myapp/member/join.do HTTP/1.1" 500 9774
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:54:59 +0900] "POST /myapp/member/join.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:54:59 +0900] "GET /myapp/ HTTP/1.1" 200 33103
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:55:04 +0900] "GET /myapp/member/joinForm.do HTTP/1.1" 200 31770
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:55:04 +0900] "GET /myapp/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:55:04 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:56:19 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 27413
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:57:16 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 27413
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:57:19 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:57:19 +0900] "GET /myapp/ HTTP/1.1" 200 33610
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:57:24 +0900] "GET /myapp/member/list.do HTTP/1.1" 200 33115
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:33 +0900] "GET /myapp/member/getMember.do?id=admin HTTP/1.1" 200 32002
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:33 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:39 +0900] "POST /myapp/member/update.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:39 +0900] "GET /myapp/ HTTP/1.1" 200 33610
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:42 +0900] "GET /myapp/member/read.do HTTP/1.1" 200 32002
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:42 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:57 +0900] "GET /myapp/member/list.do HTTP/1.1" 200 33115
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:58 +0900] "GET /myapp/member/getMember.do?id=camel HTTP/1.1" 200 31998
0:0:0:0:0:0:0:1 - - [22/Jul/2022:17:58:58 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
