127.0.0.1 - - [12/Jul/2022:13:42:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/ HTTP/1.1" 200 32253
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/images/%ED%8F%AC%ED%8B%B0%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/images/%ED%94%84%EB%9D%BC%EC%9E%84%EB%94%94%EB%9F%AD%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/images/box3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/images/%EC%83%88%ED%84%B4%EC%89%98%ED%84%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/images/box2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:00 +0900] "GET /myapp/images/box1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:02 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 27330
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:06 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:06 +0900] "GET /myapp/ HTTP/1.1" 200 32415
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:08 +0900] "GET /myapp/goods/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:08 +0900] "GET /myapp/goods/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:08 +0900] "GET /myapp/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:08 +0900] "GET /myapp/goods/listDom.do HTTP/1.1" 200 30190
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:08 +0900] "GET /myapp/images/%ED%83%80%EC%9D%B4%ED%83%84%EB%8F%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:08 +0900] "GET /myapp/images/%EC%95%84%EC%8A%A4%ED%8A%B8%EB%9D%BC%EB%8F%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:10 +0900] "GET /myapp/goods/read.do?gno=12 HTTP/1.1" 200 29719
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:10 +0900] "GET /myapp/images/star.png HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:14 +0900] "GET /myapp/payment/write_form.do?gno=12&Astra%20Dom%20Tent&20&420000&gcolor=black&gsize=normal HTTP/1.1" 200 31436
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:14 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:14 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:28 +0900] "POST /myapp/payment/insert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:28 +0900] "GET /myapp/payment/list.do HTTP/1.1" 200 31926
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:28 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:28 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:34 +0900] "GET /myapp/payment/read.do?ono=5 HTTP/1.1" 200 31347
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:34 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:34 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:56 +0900] "GET /myapp/goods/listLiving.do HTTP/1.1" 200 32623
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:56 +0900] "GET /myapp/goods/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:56 +0900] "GET /myapp/goods/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:56 +0900] "GET /myapp/images/%ED%8C%9D%EC%97%85%ED%8C%A8%EB%B0%80%EB%A6%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:58 +0900] "GET /myapp/goods/listDom.do HTTP/1.1" 200 30190
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:58 +0900] "GET /myapp/goods/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:43:58 +0900] "GET /myapp/goods/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:44:01 +0900] "GET /myapp/goods/listAlpha.do HTTP/1.1" 200 30117
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:44:01 +0900] "GET /myapp/goods/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:44:01 +0900] "GET /myapp/goods/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2022:13:44:01 +0900] "GET /myapp/images/%EC%95%8C%ED%8C%8C%EC%9D%B8%20%EB%89%B4%EC%BA%A0%ED%94%84.jpg HTTP/1.1" 304 -
