127.0.0.1 - - [13/Jul/2022:17:08:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/ HTTP/1.1" 200 32253
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/%ED%8F%AC%ED%8B%B0%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/%ED%94%84%EB%9D%BC%EC%9E%84%EB%94%94%EB%9F%AD%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/box3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/%EC%83%88%ED%84%B4%EC%89%98%ED%84%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/box1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /myapp/images/box2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:14 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 27330
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:18 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:18 +0900] "GET /myapp/ HTTP/1.1" 200 32415
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:21 +0900] "GET /myapp/basket/list.do HTTP/1.1" 200 30548
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:21 +0900] "GET /myapp/basket/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:21 +0900] "GET /myapp/basket/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:21 +0900] "GET /myapp/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:21 +0900] "GET /myapp/images/%ED%83%80%EC%9D%B4%ED%83%84%EB%8F%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:25 +0900] "GET /myapp/payment/list.do HTTP/1.1" 200 31926
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:25 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:25 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:26 +0900] "GET /myapp/payment/read.do?ono=5 HTTP/1.1" 200 31347
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:26 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:26 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:30 +0900] "GET /myapp/payment/delete.do?ono=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:30 +0900] "GET /myapp/payment/list.do HTTP/1.1" 200 31645
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:30 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:30 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:32 +0900] "GET /myapp/payment/read.do?ono=16 HTTP/1.1" 200 31364
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:32 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:32 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:33 +0900] "GET /myapp/payment/delete.do?ono=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:33 +0900] "GET /myapp/payment/list.do HTTP/1.1" 200 31360
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:33 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:33 +0900] "GET /myapp/payment/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:35 +0900] "GET /myapp/payment/read.do?ono=15 HTTP/1.1" 200 31362
0:0:0:0:0:0:0:1 - - [13/Jul/2022:17:09:35 +0900] "GET /myapp/payment/datatables.min.css HTTP/1.1" 404 721
