127.0.0.1 - - [20/Jul/2022:18:01:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/ HTTP/1.1" 200 33103
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/%ED%94%84%EB%9D%BC%EC%9E%84%EB%94%94%EB%9F%AD%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/%EC%83%88%ED%84%B4%EC%89%98%ED%84%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/%ED%8F%AC%ED%8B%B0%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/box3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/box1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /myapp/images/box2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:18:01:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
